3 0:1
Слово;Тип;Тип;Тип;Вывод;Номер;Верно?
молитва;local;local;global;Local;1;1
просьба;local;local;global;Local;1;0
диалог;global;local;local;Local;1;0
опасность;local;local;local;Local;1;0
действия;local;local;local;Local;1;0
ситуация;local;global;local;Local;1;0
и;local;dep;local;Local;1;0
страх;none;local;local;Local;1;0
сомнение;local;local;local;Local;1;0
обвинение;local;local;local;Local;1;0
фраза;local;local;local;Local;1;0
речь;local;local;none;Local;1;0
обстановка;local;local;local;Local;1;0
ссора;local;local;local;Local;1;0
неприязнь;local;local;local;Local;1;0
увещевание;local;local;local;Local;1;0
не;local;local;local;Local;1;0
крик;local;local;local;Local;1;0
пиздец;local;local;local;Local;1;0
предостережение;local;local;local;Local;1;0
спор;local;local;local;Local;1;0
друга;local;local;local;Local;1;0
его;local;local;local;Local;1;0
человека;local;local;local;Local;2;0
бога;local;local;global;Local;2;1
собеседника;local;local;local;Local;2;0
её;local;local;local;Local;2;0
петра;dep;local;local;Local;2;0
и;local;local;local;Local;2;0
друга;local;local;local;Local;2;0
напарника;local;local;local;Local;2;0
меня;local;local;local;Local;2;0
господа;local;local;global;Local;2;0
отца;local;local;global;Local;2;0
поддержке;local;local;global;Local;2;0
помощи;local;local;global;Local;2;0
понимании;local;local;global;Local;3;0
сочувствии;local;local;global;Local;3;0
участии;local;local;global;Local;3;0
отзывчивости;local;local;global;Local;3;0
утешении;local;local;global;Local;3;0
милосердии;local;local;global;Local;3;1
ушел;local;local;dep;Local;3;0
сочувствие;local;local;global;Local;3;0
любви;local;local;global;Local;3;0
поддержки;local;local;global;Local;3;0
ласке;local;local;global;Local;3;0
поддержка;local;local;dep;Local;3;0
сомнения;local;local;local;Local;3;0
сомнений;local;local;local;Local;3;0
страха;local;local;global;Local;4;0
угрозы;local;local;global;Local;4;1
тьму;local;local;local;Local;4;0
подозрений;local;local;local;Local;4;0
дьявола;local;local;local;Local;4;0
волнения;local;local;local;Local;4;0
подозрения;local;local;local;Local;4;0
сонений;local;local;local;Local;4;0
располагавшиеся;local;local;global;Local;4;0
которые;local;local;local;Local;4;0
дома;local;local;local;Local;4;0
остановившись;local;local;local;Local;5;0
находившиеся;local;local;local;Local;5;0
расположенной;local;local;global;Local;5;1
стоявшие;local;local;local;Local;5;0
находящиеся;local;local;global;Local;5;0
были;local;local;local;Local;5;0
стоящие;local;local;global;Local;5;0
город;local;local;local;Local;5;0
будучи;local;local;local;Local;5;0
воздвигнутые;local;local;global;Local;5;0
распологались;local;local;global;Local;5;0
видневшиеся;local;local;local;Local;5;0
близко;local;local;local;Local;5;0
дорога;local;local;local;Local;5;0
находящейся;local;local;global;Local;5;0
достопримечательности;local;local;local;Local;5;0
находившейся;local;local;global;Local;5;0
расположенные;local;local;global;Local;5;0
уже;local;dep;local;Local;5;0
были;local;local;local;Local;5;0
селения;local;local;local;Local;5;0
замаячившие;local;local;local;Local;5;0
виднелись;local;local;local;Local;5;0
стоящей;local;local;global;Local;5;0
когда;local;local;local;Local;5;0
крепости;local;local;global;Local;5;0
которая;local;local;local;Local;5;0
еще;local;local;local;Local;5;0
идущие;local;local;local;Local;5;0
стены;local;local;global;Local;5;0
время;local;local;local;Local;5;1
мгновение;local;local;local;Local;5;0
полчаса;local;local;local;Local;5;0
города;local;local;global;Local;6;1
дороги;local;local;local;Local;6;0
реки;local;local;local;Local;6;0
храма;local;local;local;Local;7;0
озера;local;local;local;Local;7;0
кладбища;local;local;local;Local;7;0
дома;local;local;local;Local;7;0
монастыря;local;local;local;Local;7;0
ариции;local;local;local;Local;7;0
надгробия;local;local;local;Local;7;0
горы;local;local;local;Local;7;0
пригорода;local;local;local;Local;7;0
дворца;local;local;local;Local;7;0
деревни;local;local;local;Local;7;0
сада;local;local;local;Local;7;0
дерева;local;local;local;Local;7;0
гор;local;local;local;Local;7;0
рощи;local;local;local;Local;7;0
колодца;local;local;local;Local;7;0
город;local;local;dep;Local;7;0
стен;local;local;local;Local;7;0
столпотворение;local;local;global;Local;7;0
оживление;local;local;global;Local;7;0
дерево;local;local;local;Local;7;0
движение;local;local;global;Local;8;1
зрелище;local;local;local;Local;8;0
зарево;local;local;local;Local;8;0
волнение;local;local;global;Local;8;0
многолюдно;local;local;local;Local;8;0
сияние;local;local;local;Local;8;0
молчание;local;local;local;Local;8;0
свечение;local;local;local;Local;8;0
сооружение;local;local;local;Local;8;0
собрание;local;local;local;Local;8;0
людно;local;local;dep;Local;8;0
колоннами;local;local;global;Local;8;1
колонн;local;local;global;Local;8;0
ними;local;local;local;Local;8;0
домами;local;local;local;Local;9;0
арками;local;local;local;Local;9;0
многочисленную;local;local;local;Local;9;0
пролётов;local;local;local;Local;9;0
стенами;local;local;local;Local;9;0
дверями;local;local;local;Local;9;0
перил;local;local;local;Local;9;0
охранниками;local;local;local;Local;9;0
деревьями;local;local;local;Local;9;0
членами;local;local;local;Local;9;0
стеной;local;local;local;Local;9;0
дверьми;local;local;local;Local;9;0
защиту;local;local;global;Local;9;1
сень;local;local;global;Local;9;0
покровом;local;local;dep;Local;9;0
статую;local;local;global;Local;10;0
лик;local;local;global;Local;10;0
покровительство;local;local;global;Local;10;0
ногами;local;local;local;Local;10;0
молитвы;local;local;local;Local;10;0
подножие;local;local;local;Local;10;0
сводом;local;local;local;Local;10;0
фигуры;local;local;local;Local;10;0
статуи;local;local;global;Local;10;0
своды;local;local;local;Local;10;0
опеку;local;local;local;Local;10;0
пение;local;local;local;Local;10;0
идолом;local;local;local;Local;10;0
купол;local;local;local;Local;10;0
святилище;local;global;local;Local;10;0
знаменами;local;local;local;Local;10;0
статуей;local;global;global;Global;10;0
руками;local;local;local;Local;10;0
ступни;local;local;dep;Local;10;0
идол;local;local;global;Local;10;0
песни;local;local;local;Local;10;0
прикрытие;local;local;local;Local;10;0
звуки;local;local;local;Local;10;0
свет;local;local;local;Local;10;0
шли;local;global;global;Global;10;0
стекались;local;global;global;Global;10;0
бежало;local;global;global;Global;10;0
тянулись;local;global;global;Global;11;0
пошли;local;global;global;Global;11;0
бежали;local;global;global;Global;11;0
спешили;local;global;global;Global;11;0
пробиралось;local;global;global;Global;11;0
приходили;local;global;global;Global;11;0
прибывали;local;global;global;Global;11;0
города;local;local;local;Local;11;0
стремились;local;global;global;Global;11;0
бросилось;local;global;global;Global;11;0
помчалось;local;global;global;Global;11;0
собиралось;local;global;local;Global;11;0
