id,text,number_in_text,number_of_gaps,word,lemma,pos,correct_guess,skipped,number_of_participants,frequency,predictability_type,dependency,head,word_before,pos_before,word_after,pos_after,sem_tag,sem_tag_2,sem,sem_tag_size,sem_tag_size_2,semantics,count_dependents,is_middle,count_dependents_new,is_middle_new,left_bigram,right_bigram,sum_bigram,max_bigram,token_frequency,left_frequency,right_frequency,correct_pos,correct_sem
1,1,1,43,повернулся,повернуться,v,12,0,47,22659,local,ROOT,повернулся,Пилат,n,и,conj,2.2.2.,2.2.,2,430,1350,глаголы изменения качества состояния объекта,4,0,3,0,2,2627,2629,2627,11675,764,15068944,45,36
7,1,7,43,вырвался,вырваться,v,26,5,47,12912,local,acl,чудо,смерти,n,из,prep,1.4.,1.4.,1,941,941,Глаголы физического воздействия на объект,2,1,1,1,3,780,783,780,2754,73077,1655122,42,39
11,1,11,43,знал,знать,v,28,2,47,669628,local,ROOT,знал,Он,pron,что,conj,1.6.,1.6.,1,434,434,глаголы интеллектуальной деятельности,4,0,3,0,9628,24746,34374,24746,92938,2622372,4480095,44,37
22,1,22,43,остановились,остановиться,v,10,11,47,73451,local,conj,взмахнул,конвой,n,Кавалерийская,adj,2.1.3.,2.1.,2,157,375,глаголы прекращения состояния,4,1,3,1,1,0,1,1,12267,1501,475,34,15
23,1,23,43,вылетела,вылететь,v,6,0,47,7328,local,ROOT,вылетела,рыси,n,на,prep,1.1.1.,1.1.,1,334,395,глаголы однонаправленного движения,3,1,2,1,1,96,97,96,1099,420,5973296,46,33
29,1,29,43,выхватил,выхватить,v,16,2,47,4584,local,conj,выкрикнул,и,conj,из,prep,1.4.,1.4.,1,941,941,Глаголы воздействия на объект,2,1,2,1,178,573,751,573,2340,15068944,1655122,45,45
31,1,31,43,шарахнулась,шарахнуться,v,6,11,47,1247,local,ROOT,шарахнулась,лошадь,n,поднялась,v,1.2.2.,1.2.,1,57,304,глаголы движения,4,0,3,0,18,1,19,18,349,23704,9775,25,10
34,1,34,43,полетели,полететь,v,6,3,47,11565,local,ROOT,полетели,ряд,n,всадники,n,1.2.2.,1.2.,1,57,304,глаголы движения,8,0,7,0,1,1,2,1,2604,34946,1565,42,40
41,1,41,43,морща,морщить,v,24,2,47,953,local,conj,закрываясь,недовольно,adv,лицо,n,1.9.,1.9.,1,98,98,глаголы физиологического действия,2,1,2,1,4,14,18,14,301,3934,127292,43,38
42,1,42,43,двинулся,двинуться,v,11,3,47,16417,local,ROOT,двинулся,Пилат,n,дальше,adv,1.1.1.,1.1.,1,334,395,глаголы однонаправленного движения,7,0,6,0,1,339,340,339,5676,764,85448,44,37
