model,type,size,correlation with sem_ratio,correlation with guess_ratio
sergeyzh/rubert-mini-uncased,rubert,mini,"0,6926789072","0,8052648204"
google-bert/bert-base-multilingual-uncased,bert,base,"0,6739631421","0,7654575495"
sergeyzh/rubert-mini-frida,rubert,mini,"0,6719539503","0,7463106086"
cointegrated/rubert-base-cased-nli-threeway,rubert,base,"0,6625584014","0,7305657437"
nlptown/bert-base-multilingual-uncased-sentiment,bert,base,"0,6599273875","0,7667624693"
MaxKazak/ruBert-base-russian-emotion-detection,rubert,base,"0,6583219432","0,7112593218"
ai-forever/ruBert-base,rubert,base,"0,6568768967","0,7220707835"
ai-forever/ruBert-large,rubert,large,"0,6556543234","0,7557034886"
Ark2016/ruBert-large-emotions-lora,rubert,large,"0,6547513337","0,7813764294"
Kostya165/rubert_tiny2_russian_emotion_sentiment,rubert,tiny,"0,6347319801","0,8290171088"
Aniemore/rubert-large-emotion-russian-cedr-m7,rubert,large,"0,63436661","0,6961645063"
emrecan/bert-base-turkish-cased-mean-nli-stsb-tr,bert,base,"0,6317179239","0,815852496"
sergeyzh/rubert-tiny-sts,rubert,tiny,"0,630991317","0,8384548311"
sergeyzh/rubert-tiny-turbo,rubert,tiny,"0,6283118688","0,8445388821"
seara/rubert-tiny2-russian-emotion-detection-cedr,rubert,tiny,"0,6235560905","0,8279210121"
sergeyzh/rubert-tiny-topic,rubert,tiny,"0,6228612669","0,727278791"
blanchefort/rubert-base-cased-sentiment-rurewiews,rubert,base,"0,6211653006","0,689415687"
cointegrated/rubert-tiny2,rubert,tiny,"0,6201563641","0,825744855"
WpythonW/rubert-tiny2-vllm,rubert,tiny,"0,6201563641","0,825744855"
Djacon/rubert-tiny2-russian-emotion-detection,rubert,tiny,"0,6193747706","0,8346165822"
google-bert/bert-base-uncased,bert,base,"0,6173370765","0,8453236717"
BunnyNoBugs/rubert-tiny2-russe-toxicity,rubert,tiny,"0,6172576416","0,8201183891"
cointegrated/rubert-tiny2-cedr-emotion-detection,rubert,tiny,"0,6157477464","0,8364270803"
seara/rubert-tiny2-russian-emotion-detection-ru-go-emotions,rubert,tiny,"0,612350591","0,8149983685"
seara/rubert-tiny2-russian-sentiment,rubert,tiny,"0,6112986382","0,8293452519"
