text,gap_number,word,count_answers,local_global,semantics
1,1,повернулся,11,local,глаголы изменения качества состояния объекта
1,1,встал,9,local,глаголы изменения качества состояния объекта
1,1,развернулся,8,local,глаголы изменения качества состояния объекта
1,1,остановился,2,local,глаголы изменения качества состояния объекта
1,1,осмотрелся,2,local,глаголы созерцания
1,1,кекнул,1,local,глаголы выражения эмотивного состояния
1,1,улыбнулся,1,local,глаголы изменения качества состояния объекта
1,1,поснулся,1,dep,-
1,1,вздохнул,1,local,глаголы физиологической деятельности
1,1,обернулся,1,local,глаголы изменения качества состояния объекта
1,1,выпрямился,1,local,глаголы изменения качества состояния объекта
1,1,повернул,1,local,глаголы изменения качества состояния объекта
1,1,нахмурился,1,local,глаголы изменения качества состояния объекта
1,1,выпил,1,local,-
1,1,подумал,1,local,глаголы мыслительной деятельности
1,1,посмотрел,1,local,глаголы созерцания
1,1,повенуося,1,local,глаголы изменения качества состояния объекта
1,1,деньги,1,dep,деньги
1,1,понтий,1,global,человек
1,1,оглянулся,1,dep,глаголы созерцания
1,2,ступеням,8,global,место в пространстве
1,2,реке,4,local,место в пространстве
1,2,дворцу,4,local,место в пространстве
1,2,дому,3,local,место в пространстве
1,2,городу,2,local,место в пространстве
1,2,площади,2,global,место в пространстве
1,2,охране,1,global,наименование групп лиц
1,2,арке,1,global,место в пространстве
1,2,плошади,1,global,место в пространстве
1,2,суду,1,global,место в пространстве
1,2,крепости,1,global,место в пространстве
1,2,саду,1,global,место в пространстве
1,2,берегу,1,local,место в пространстве
1,2,помосту,1,global,место в пространстве
1,2,огороду,1,local,место в пространстве
1,2,толпе,1,global,наименование групп лиц
1,2,своему дворцу,1,local,место в пространстве
1,2,дороге,1,local,место в пространстве
1,2,улице,1,local,место в пространстве
1,2,собору,1,global,место в пространстве
1,2,побережью,1,local,место в пространстве
1,2,церкви,1,global,место в пространстве
1,2,банкиру,1,local,человек
1,2,назад,1,dep,место в пространстве
1,2,ступнням,1,global,место в пространстве
1,2,статуе,1,global,место в пространстве
1,2,лестнице,1,global,место в пространстве
1,2,водоему,1,local,место в пространстве
1,3,шашек,5,global,форма
1,3,досок,11,local,материал
1,3,камней,7,local,материал
1,3,листьев,4,local,растения
1,3,плиток,3,local,материал
1,3,плит,2,local,материал
1,3,цветов,2,local,растения
1,3,полос,2,local,форма
1,3,кусков,1,local,форма
1,3,участков,1,local,форма
1,3,балок,1,local,материал
1,3,пятен,1,local,форма
1,3,трав,1,local,растения
1,3,ламп,1,local,предмет мебели
1,3,листьев да,1,local,растения
1,3,островков,1,local,место в пространстве
1,4,спиною,4,local,часть тела
1,4,спиной,34,local,часть тела
1,4,плечами,5,local,часть тела
1,4,головой,1,local,часть тела
1,4,ним,1,local,человек
1,4,шуба,1,dep,одежда
1,4,это,1,local,-
1,5,финики,4,global,объекты маленького размера
1,5,знал,6,local,глаголы интеллектуальной деятельности
1,5,понимая,3,local,глаголы интеллектуальной деятельности
1,5,цветы,3,local,объекты маленького размера
1,5,звеня,2,local,глаголы звучания
1,5,видел,1,local,глаголы созерцания
1,5,амулеты,1,local,объекты маленького размера
1,5,слыша,1,local,глаголы созерцания
1,5,чувствовал,1,local,глаголы интеллектуальной деятельности
1,5,камни,1,local,объекты маленького размера
1,5,и,1,local,-
1,5,драгоценности,1,local,объекты маленького размера
1,5,серебро,1,local,объекты маленького размера
1,5,веря,1,local,глаголы интеллектуальной деятельности
1,5,знал и то,1,local,глаголы интеллектуальной деятельности
1,5,с ликом императора,1,dep,внешняя характеристика объекта
1,5,он понял,1,local,глаголы интеллектуальной деятельности
1,5,цветы и конфеты,1,local,объекты маленького размера
1,5,не смотря на то,1,local,-
1,5,палки,1,local,крупные объекты
1,5,большиие,1,dep,"внешняя характеристика объекта, размер"
1,5,инжир,1,global,объекты маленького размера
1,5,украшения,1,local,объекты маленького размера
1,6,чудо,25,global,чудо
1,6,то,3,local,-
1,6,спасение,1,global,чудо
1,6,момент,1,local,наименование событий
1,6,иисуса,1,global,чудо
1,6,воочию,1,local,вариант совершения деятельности
1,6,это событие,1,local,наименование событий
1,6,свой,1,dep,принадлежность
1,6,невероятное зрелище,1,local,чудо
1,6,сенсацию,1,local,чудо
1,6,мессию,1,global,чудо
1,6,девушку,1,local,человец
1,6,это чудо,1,dep,чудо
1,6,происходящее,1,local,наименование событий
1,6,это,1,local,-
1,6,невероятное,1,local,чудо
1,6,голубыми,1,local,цвет
1,6,сцену,1,local,наименование событий
1,7,вырвался,26,local,глаголы физического воздействия на объект
1,7,выскользнул,3,local,глаголы физического воздействия на объект
1,7,вырывается,2,local,глаголы физического воздействия на объект
1,7,ускользал,1,local,глаголы физического воздействия на объект
1,7,ускользает,1,local,глаголы физического воздействия на объект
1,7,спасется,1,local,глаголы физического воздействия на объект
1,7,ускользнул,1,local,глаголы физического воздействия на объект
1,7,вырванный,1,local,глаголы физического воздействия на объект
1,7,которому удалось,1,local,глаголы осуществления события
1,7,взял,1,local,глаголы физического воздействия на объект
1,7,был вырван,1,local,глаголы физического воздействия на объект
1,7,выберется,1,local,глаголы физического действия
1,7,убежал,1,local,глаголы физического действия
1,7,вырывался,1,local,глаголы физического воздействия на объект
1,8,веревки,16,global,"объекты, сковывающие действия"
1,8,одежду,5,local,одежда
1,8,кандалы,4,local,"объекты, сковывающие действия"
1,8,оковы,4,local,"объекты, сковывающие действия"
1,8,путы,3,global,"объекты, сковывающие действия"
1,8,доспехи,2,local,одежда
1,8,шлем,2,local,одежда
1,8,цепи,2,local,"объекты, сковывающие действия"
1,8,кожу,2,local,часть тела
1,8,тряпки,1,local,одежда
1,8,рубашку,1,local,одежда
1,8,лохмотья,1,local,одежда
1,8,тунику,1,local,одежда
1,8,плащ,1,local,одежда
1,8,крест,1,global,"одежда, объект религии"
1,9,допросе,6,global,процесс выяснения обстоятельств
1,9,запястьях,9,local,часть тела
1,9,кресте,4,global,место в пространстве
1,9,дыбе,2,local,часть тела
1,9,локтях,2,local,часть тела
1,9,излом,1,local,часть тела
1,9,распятии,1,global,место в пространстве
1,9,суставах,1,local,часть тела
1,9,пытках,1,global,процесс выяснения обстоятельств
1,9,вверх,1,local,характеристика увечий
1,9,зад,1,local,часть тела
1,9,обоженных,1,local,характеристика увечий
1,9,мосту,1,local,место в пространстве
1,9,изнанку,1,local,характеристика увечий
1,9,ногах и,1,local,часть тела
1,9,обоих,1,local,число
1,9,бегу,1,dep,скорость выполнения действия
1,9,запястьях,1,local,часть тела
1,9,столбе,1,local,место в прострастве
1,9,тонких,1,local,внешняя характеристика предмета
1,9,плече,1,local,часть тела
1,9,плечах и,1,local,часть тела
1,9,допросах,1,global,процесс выяснения обстоятельств
1,9,кроточащих,1,local,характеристика увечий
1,10,сумасшедшей,4,local,психическое состояние
1,10,глупой,3,local,интеллектуальное состояние
1,10,счастливой,3,local,эмоциональное состояние
1,10,доброй,3,local,эмоциональное состояние
1,10,детской,2,local,психическое состояние
1,10,безумной,2,local,психическое состояние
1,10,искренней,2,local,эмоциональное состояние
1,10,радостной,2,local,эмоциональное состояние
1,10,странной,2,local,психическое состояние
1,10,улыбкой,2,local,выражение лица
1,10,смешной,1,local,эмоциональное состояние
1,10,своей,1,local,принадлежность
1,10,усталой,1,local,физическое состояние
1,10,благодарной,1,dep,эмоциональное состояние
1,10,тупой,1,local,интеллектуальное состояние
1,10,измученной,1,local,физичекое состояние
1,10,бледной,1,local,сила выражения эмоций
1,10,безмятежной,1,local,эмоциональное состояние
1,10,потерянной,1,local,эмоциональное состояние
1,10,блаженной,1,local,эмоциональное состояние
1,10,и дерзкой,1,local,психическое состояние
1,10,восковой,1,local,сила выражения эмоций
1,10,беззубой,1,local,физическое состояние
1,10,счастливой,1,local,эмоциональное состояние
1,10,натянутой,1,local,сила выражения эмоций
1,10,беспощадной,1,local,эмоциональное состояние
1,10,и глупой,1,local,интеллектуальное состояние
1,10,едва заметной,1,local,сила выражения эмоций
1,10,грустной,1,local,эмоциональное состояние
1,11,знал,24,local,глаголы интеллектуальной деятельности
1,11,видит,3,local,глаголы созерцания
1,11,понимал,3,local,глаголы интеллектуальной деятельности
1,11,понял,3,local,глаголы интеллектуальной деятельности
1,11,не знал,2,local,глаголы интеллектуальной деятельности
1,11,заметил,2,local,глаголы созерцания
1,11,видел,1,local,глаголы созерцания
1,11,догадывался,1,local,глаголы интеллектуальной деятельности
1,11,подозревал,1,local,глаголы интеллектуальной деятельности
1,11,подумал,1,local,глаголы интеллектуальной деятельности
1,11,увидел,1,local,глаголы созерцания
1,11,знает,1,local,глаголы интеллектуальной деятельности
1,11,сказал,1,local,глаголы речевой деятелньости
1,11,занл,1,local,глаголы интеллектуальной деятельности
1,12,ступеням,5,global,место в пространстве
1,12,воротам,18,local,место в пространстве
1,12,стенам,3,local,место в пространстве
1,12,перилам,2,local,место в пространстве
1,12,дверям,2,local,место в пространстве
1,12,башням,1,local,место в пространстве
1,12,тропам,1,local,"объект в пространстве, имеющий направление"
1,12,коридором,1,local,"объект в пространстве, имеющий направление"
1,12,распятям,1,global,место в пространстве
1,12,гильотинам,1,global,место в пространстве
1,12,троих,1,global,число
1,12,крестам,1,global,место в пространстве
1,12,поручням,1,local,место в пространстве
1,12,помостам,1,global,место в пространстве
1,12,виселицам,1,global,место в пространстве
1,12,столбам,1,local,место в пространстве
1,12,линиям,1,local,место в пространстве
1,12,строениям,1,local,место в пространстве
1,13,дорогу,32,local,"объект в пространстве, имеющий направление"
1,13,улицу,5,local,"объект в пространстве, имеющий направление"
1,13,тропу,4,local,"объект в пространстве, имеющий направление"
1,13,площадь,2,local,место в пространстве
1,13,читую воду,1,local,-
1,13,арену,1,local,место в пространстве
1,13,перед,1,local,место в пространстве
1,14,осужденных,9,global,наименование групп лиц
1,14,людей,3,local,наименование групп лиц
1,14,смерть,2,global,конец бытия
1,14,казни,2,global,вид наказания
1,14,толпу,2,local,наименование групп лиц
1,14,больше,2,local,направление
1,14,дальше,1,local,направление
1,14,казнь,1,global,вид наказания
1,14,однако,1,local,-
1,14,его,1,local,принадлежность
1,14,гору,1,global,место в пространстве
1,14,сам,1,local,человек
1,14,крест,1,global,объект религии
1,14,приговоренных,1,global,наименование групп лиц
1,14,помост,1,global,место в пространстве
1,14,пленников,1,global,наименование групп лиц
1,14,усталый,1,local,физическое состояние
1,14,легионеров,1,global,наименование групп лиц
1,14,тьма,1,local,нехватка света
1,14,мосту,1,global,место в пространстве
1,14,город,1,global,место в пространстве
1,14,этого,1,local,-
1,14,всю эту боль,1,local,физическое состояние
1,14,чего,1,local,-
1,14,здесь,1,local,место в пространстве
1,14,но,1,local,-
1,14,толпы,1,dep,наименование групп лиц
1,14,но все равно,1,local,-
1,14,посмотрел,1,local,глаголы созерцания
1,14,зрелище,1,local,наименование события
1,14,"несмотря на то, что",1,local,-
1,15,глашатаев,13,global,наименование групп лиц
1,15,людей,8,local,наименование групп лиц
1,15,толпы,4,local,наименование групп лиц
1,15,солдат,3,global,наименование групп лиц
1,15,женщин,2,local,наименование групп лиц
1,15,зевак,2,local,наименование групп лиц
1,15,легионеров,2,global,наименование групп лиц
1,15,простолюдинов,1,local,наименование групп лиц
1,15,отдельных людей,1,local,наименование групп лиц
1,15,стражников,1,global,наименование групп лиц
1,15,птиц,1,local,животные
1,15,громкий,1,local,характеритика звучания
1,16,греческом,12,global,язык
1,16,латинском,5,global,язык
1,16,арабском,3,global,язык
1,16,иудейском,2,global,язык
1,16,непонятных,2,local,вид
1,16,греческих,2,global,язык
1,16,еврейском,1,global,язык
1,16,латинских,1,global,язык
1,16,своих,1,local,принадлежность
1,16,сирийском,1,global,язык
1,16,иудейских,1,global,язык
1,16,туземских,1,global,язык
1,16,арарийском,1,dep,язык
1,16,славянских,1,global,язык
1,16,азербайджанском,1,global,язык
1,16,иностранных,1,local,язык
1,16,всех,1,local,вид
1,16,латыни,1,global,язык
1,16,других,1,local,вид
1,16,немецком,1,local,язык
1,16,турецком,1,global,язык
1,16,разных,1,local,вид
1,17,труба,9,global,музыкальный инструмент
1,17,женщина,4,local,человек
1,17,крик,3,local,вид звука
1,17,ржание,2,local,вид звука
1,17,команда,2,local,наименования групп людей
1,17,шум,2,local,вид звука
1,17,появилась всадница,1,local,-
1,17,гул,1,local,вид звука
1,17,гонг,1,local,музыкальный инструмент
1,17,грохот,1,local,вид звука
1,17,лошадь,1,local,животное
1,17,рев,1,local,вид звука
1,17,шум когорты,1,dep,вид звука
1,17,звук,1,local,вид звука
1,17,свист,1,local,вид звука
1,17,окрик,1,local,вид звука
1,17,скрежет,1,local,вид звука
1,17,крики,1,local,вид звука
1,17,птица,1,dep,животное
1,17,голоса,1,local,вид звука
1,17,артиллерия,1,local,оружие
1,18,весело,6,local,эмоциональная характеристика
1,18,громко,16,local,качество силы звука
1,18,звонко,4,local,качество силы звука
1,18,невнятно,3,local,качество четкости звука
1,18,резко,3,local,качество четкости звука
1,18,отрывисто,2,local,качество четкости звука
1,18,ясно,1,local,качество четкости звука
1,18,зло,1,local,эмоциональная характеристика
1,18,отчаянно,1,local,эмоциональная характеристика
1,18,тихо,1,local,качество силы звука
1,18,женщина,1,local,человек
1,18,пронзительно,1,local,эмоциональная характеристика
1,18,звучно,1,local,качество силы звука
1,18,надрывно,1,local,эмоциональная характеристика
1,18,зычно,1,local,качество силы звука
